site,layer,component,slope,ci_low,ci_high,schedule_count,bootstrap_samples,aggregation,readout
final_prompt,23,odd,0.007108978554606437,-0.0002869773916900157,0.015608096950583988,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,24,even,0.032773046443859734,0.007913175331428646,0.054838265183304126,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,24,odd,0.006709031388163566,-0.0007872274255051332,0.015213878038339316,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,25,even,0.029548707356055578,0.007708609951660037,0.050394390791188924,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,25,odd,0.005981540679931641,-0.0005860082127831198,0.013302493772239653,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,26,even,0.024927950588365395,0.006789694647304714,0.04203152488318403,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,26,odd,0.005529377919932206,-5.760547281666233e-05,0.011771705084376865,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,27,even,0.08064803959180912,0.028687363945775562,0.12628316210183707,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,27,odd,0.015872240625321866,0.002170309308056648,0.03126174769722498,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,28,even,0.08160070950786273,0.014810658073560759,0.1279215619234102,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,28,odd,0.01597150464852651,0.0004966362635907415,0.03283179067075252,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,29,even,0.12096403688192367,0.0227485320265546,0.18970003619790077,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,29,odd,0.02207893580198288,0.0007890637011991607,0.04560588601231572,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,30,even,0.1112002412478129,0.02300573063393434,0.17258821792900558,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,30,odd,0.020597111185391745,0.0020582605491984976,0.0407941362361113,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,31,even,0.09163769880930582,0.021102389603853227,0.14032887265086172,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
final_prompt,31,odd,0.02213900089263916,0.005539011470973491,0.041357173757119614,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,0,even,6.681556502978007e-05,-1.5056651085615158e-05,0.00016596261039376255,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,0,odd,2.5713692108790078e-05,-3.230774944478815e-05,6.718922119874221e-05,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,1,even,5.111719171206156e-05,-0.00029377863804499305,0.00041398873345719424,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,1,odd,6.707410017649332e-05,1.4878526329994203e-05,0.00011943525888703082,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,2,even,8.762329816818238e-05,-0.0007102966021027481,0.0008873137143073659,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,2,odd,0.00021669094761212667,5.1541050676913824e-05,0.0004209336514274278,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,3,even,-7.94212023417155e-05,-0.00046759481940950666,0.0003720889563361803,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,3,odd,0.00018069868286450704,-8.121037390083074e-05,0.0005181787264618004,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,4,even,-0.0003684030224879583,-0.001046026755745212,0.00019796102399042865,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,4,odd,-7.834347585837047e-05,-0.0003100484206030766,0.00018804524488972885,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,5,even,-0.0002978122482697169,-0.0006168010955055556,8.409791163631252e-05,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,5,odd,0.0001594410588343938,-1.4665515960327216e-05,0.0003997809439897535,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,6,even,-8.050414423147838e-05,-0.0005065620144208273,0.0002866871654987335,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,6,odd,0.00023886797328790028,5.572848487645388e-05,0.0005241554509848354,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,7,even,-0.0017058112969001134,-0.0025971017777919768,-0.0008324630558490753,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,7,odd,0.00028604231774806974,0.00016294565530759948,0.0004347516316920519,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,8,even,0.0008026547729969025,-0.0019604398852254585,0.003982779410268579,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,8,odd,0.0004200465977191925,8.916112993444715e-05,0.0009166682884097098,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,9,even,0.00010269184907277426,-0.0013688175752758981,0.0016561613985233835,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,9,odd,0.00020480801661809284,-0.0002584603594409095,0.0005774695931800774,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,10,even,0.0008193788429101309,-0.0026583187643970762,0.00494635851184527,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,10,odd,7.805377244949341e-05,-0.000894713173309962,0.0007115361702938872,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,11,even,-0.00041428953409194946,-0.004246207848660835,0.0040472295470535685,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,11,odd,0.00011292174458503723,-0.0011043349901835124,0.0009739719269176319,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,12,even,-8.440750340620677e-05,-0.004632381682749837,0.005735331408989919,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,12,odd,0.00015795044600963593,-0.0007622190853580832,0.0009550419100560246,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,13,even,-0.0023129486789306005,-0.006437959573231637,0.0006046797865285306,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,13,odd,6.250105798244476e-05,-0.0011377768878909674,0.001088499704262975,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,14,even,-0.010012120629350344,-0.02402222734911797,0.007140865766576354,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,14,odd,-8.697671194871267e-05,-0.002639020180160349,0.0018560725067343021,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,15,even,0.007677571444461743,-0.0019370051174932583,0.020446499910516037,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,15,odd,0.0011007242215176423,-0.003217269387096167,0.005901798005448648,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,16,even,-0.0019401048154880603,-0.018561858698625915,0.013811402918366638,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,16,odd,0.0003137923001001279,-0.003361834670332345,0.004165196250049537,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,17,even,0.0066733093311389284,-0.011926001523222242,0.03108652351085434,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,17,odd,0.0005429277817408244,-0.0013578378153033554,0.0033581043745983716,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,18,even,0.03702771862347921,0.010013042999487935,0.0687197265954954,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,18,odd,0.004180213809013367,0.0009573938754888681,0.00834501376399746,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,19,even,0.043380411341786385,0.015597579783626966,0.07692096750251948,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
answer_prefix,19,odd,0.003299493466814359,-0.0005027550097022737,0.006366879189243682,8,2000,pooled across all five symmetric reliability pairs,final norm and head in float32 on saved BF16 residuals; descriptive
